Student Name,Course Selected,Nationality,School,Demographic Data,Age,Modes of Learning,Session,Field of Interest,Difficulty Level,Course Recommended,Course Rating
student 5976,Speech and Drama,Ireland,English Language Private School,Male,4,Hybrid,8,Technology,Intermediate,Graphics Designing,5
student 5977,Gulf News - Artificial Intelligence,Cuba,Gulf Indian High School,Female,2,Hybrid,48,Technology,Applied Tech,3D Designing,3
student 5978,Robotics/Virtual Robotics/Robotics Programming,Jordan,English Language Private School,Female,11,Online,48,Technology,Beginner,Robotics Innovative Learning,5
student 5979,World Robot Olympiad (WRO),Uruguay,English Language Private School,Male,6,Online,96,Sports,Applied Tech,Game Development,3
student 5980,App Design and Development,China,Gulf Indian High School,Female,2,In-person,24,Science,Intermediate,Technology Innovative Learning,3
student 5981,Gulf News - Metaverse,Egypt,Gulf Indian High School,Male,2,Online,96,Sports,Proficiency,Graphics Designing,5
student 5982,Young Data Scientist,New Zealand,Gulf Indian High School,Female,7,Online,24,Mathematics,Beginner,Python,5
student 5983,Artificial Intelligence Winter Internship Program,Cook Islands,Gulf Indian High School,Male,2,In-person,24,Technology,Applied Tech,Coding for kids,3
student 5984,Young Game Developer,Bahrain,Gulf Indian High School,Male,7,Online,24,Art,Proficiency,Python,4
student 5985,Public Speaking,Poland,Gulf Indian High School,Male,2,Online,48,Music,Intermediate,Coding for kids,5
student 5986,FIRST LEGO LEAGUE (FLL - 2022/23),Poland,Gulf Indian High School,Male,2,In-person,48,Mathematics,Intermediate,3D Designing,4
student 5987,Data Science,United Kingdom,Gulf Indian High School,Female,2,Hybrid,24,Art,Beginner,AI,4
student 5988,Metaverse,United Kingdom,Gulf Indian High School,Male,8,In-person,24,Music,Intermediate,Coding for kids,5
student 5989,Young Coder,Pakistan,Gulf Indian High School,Female,2,Online,48,Technology,Beginner,Robotics Innovative Learning,3
student 5990,Public Speaking,India,English Language Private School,Male,6,Hybrid,8,Music,Proficiency,Coding for kids,3
student 5991,Scratch Coding,United States,English Language Private School,Male,6,In-person,24,Mathematics,Intermediate,Coding for kids,5
student 5992,Scratch Coding,UK,English Language Private School,Female,6,Hybrid,24,Mathematics,Proficiency,3D Designing,4
student 5993,Gulf News - Metaverse,Turkey,Gulf Indian High School,Female,2,Hybrid,24,Technology,Applied Tech,Coding for kids,5
student 5994,STEM Sr,Oman,Gulf Indian High School,Male,2,Hybrid,24,Science,Intermediate,AI,4
student 5995,3D Designing and Printing,Malaysia,Gulf Indian High School,Female,2,Online,96,Technology,Proficiency,3D Designing,4
student 5996,Augmented & Virtual Reality,Armenia,Gulf Indian High School,Male,2,Hybrid,48,Mathematics,Applied Tech,Coding for kids,5
student 5997,Spring Camp,Egypt,English Language Private School,Male,8,In-person,48,Sports,Beginner,AI,3
student 5998,"Public Speaking, Design Thinking and Junior Entrepreneur Program for Students",Canada,English Language Private School,Male,8,Online,48,Music,Intermediate,Technology Innovative Learning,4
student 5999,Internet of Things,Cameroon,Gulf Indian High School,Male,2,Hybrid,96,Art,Proficiency,App Development,3
student 6000,Technology Onsite - Regent - Team 1,IndiaSpain,Gulf Indian High School,Female,4,In-person,24,Music,Proficiency,3D Designing,4
student 6001,Game Development - Block-Based,India,English Language Private School,Female,11,Online,8,Sports,Proficiency,Coding for kids,4
student 6002,STEM Jr,Pakistan,English Language Private School,Female,8,Hybrid,96,Mathematics,Applied Tech,Python,4
student 6003,Game Dev with SCRATCH,Pakistan,Gulf Indian High School,Female,2,In-person,48,Mathematics,Applied Tech,Graphics Designing,3
student 6004,Bootcamp - 3D Designing & Modelling,USA,English Language Private School,Male,10,In-person,96,Technology,Applied Tech,3D Designing,5
student 6005,Gulf News - Metaverse,Cameroon,Gulf Indian High School,Male,3,In-person,8,Mathematics,Beginner,Game Development,4
student 6006,Winter Camp 2021,India,Gulf Indian High School,Female,8,In-person,48,Art,Proficiency,Graphics Designing,3
student 6007,Winter Camp 2022,Taiwan,Gulf Indian High School,Female,2,Hybrid,48,Technology,Beginner,AI,3
student 6008,Coding for kids,KSA,Gulf Indian High School,Male,2,Hybrid,96,Science,Intermediate,Coding for kids,5
student 6009,Young Designer,Egypt,Gulf Indian High School,Male,2,Hybrid,96,Art,Proficiency,Robotics Innovative Learning,5
student 6010,Winter Camp 2022,Iraq,Gulf Indian High School,Female,8,Online,48,Sports,Intermediate,3D Designing,5
student 6011,App Design and Development,Oman,English Language Private School,Female,6,In-person,8,Mathematics,Beginner,Robotics Innovative Learning,5
student 6012,Mid Term Program,Cook Islands,Gulf Indian High School,Male,8,Hybrid,24,Music,Applied Tech,Python,5
student 6013,Technology Onsite - Regent - Team 1,Bahrain,English Language Private School,Female,7,In-person,8,Science,Proficiency,Coding for kids,3
student 6014,Half Term Camp 2022-23,Canada,Gulf Indian High School,Female,2,In-person,24,Technology,Intermediate,App Development,4
student 6015,Young Designer,Bosnia and Herzegovina,English Language Private School,Male,7,In-person,24,Art,Applied Tech,Python,3
student 6016,Gulf News - Data Analysis with Python,Canada,English Language Private School,Female,6,Online,48,Art,Beginner,App Development,4
student 6017,Speech and Drama,Saudi Arabia,Gulf Indian High School,Male,FS 1,Online,24,Science,Proficiency,Robotics Innovative Learning,5
student 6018,Young Coder,United States,Gulf Indian High School,Male,2,Online,48,Mathematics,Applied Tech,Game Development,3
student 6019,VEX Robotics Competition (VRC - 2023/24),India,English Language Private School,Male,9,Online,48,Science,Proficiency,Graphics Designing,4
student 6020,Young Product Designer,Egypt,English Language Private School,Male,6,Online,24,Science,Applied Tech,AI,3
student 6021,Arduino,Ireland,Gulf Indian High School,Male,3,Online,24,Technology,Proficiency,Coding for kids,4
student 6022,Young Product Designer,Egypt,Gulf Indian High School,Female,2,Hybrid,48,Mathematics,Applied Tech,Technology Innovative Learning,5
student 6023,Technology Innovative Learning,Pakistan,Gulf Indian High School,Female,2,Hybrid,8,Art,Intermediate,Graphics Designing,3
student 6024,"CIS, Dubai - Stem Junior Year (3 -6)",Iran (Islamic Republic of),English Language Private School,Female,4,In-person,48,Music,Intermediate,Robotics Innovative Learning,5
student 6025,3D Designing and Printing,Oman,Gulf Indian High School,Male,2,Hybrid,24,Art,Proficiency,Robotics Innovative Learning,4
student 6026,Young Web Developer,Ireland,Gulf Indian High School,Female,2,Hybrid,8,Music,Proficiency,3D Designing,5
student 6027,Microsoft Arcade,Palestine,Gulf Indian High School,Male,2,Hybrid,24,Science,Applied Tech,3D Designing,4
student 6028,Graphic Designing & Animation,Poland,Gulf Indian High School,Male,2,In-person,24,Art,Applied Tech,Robotics Innovative Learning,3
student 6029,JAVA Programming,China,Gulf Indian High School,Male,2,In-person,48,Science,Beginner,Game Development,5
student 6030,Bootcamp - 3D Designing & Modelling,Korea,Gulf Indian High School,Male,2,In-person,48,Mathematics,Proficiency,Technology Innovative Learning,4
student 6031,Coding for kids,Cuba,Gulf Indian High School,Female,7,Online,8,Technology,Proficiency,Coding for kids,3
student 6032,Young Entrepreneur,Pakistan,English Language Private School,Male,7,In-person,48,Science,Beginner,App Development,4
student 6033,Arduino,Canada,Gulf Indian High School,Male,7,In-person,24,Mathematics,Beginner,Game Development,3
student 6034,Game Development - Microsoft Arcade,Switzerland,Gulf Indian High School,Female,7,Hybrid,24,Technology,Beginner,Graphics Designing,3
student 6035,LEGO Robotics,Uruguay,English Language Private School,Female,4,In-person,8,Music,Intermediate,3D Designing,4
student 6036,Gulf News - Artificial Intelligence,Russia,English Language Private School,Female,6,Online,24,Mathematics,Beginner,Robotics Innovative Learning,4
student 6037,Drone Technology,New Zealand,English Language Private School,Female,6,In-person,48,Sports,Proficiency,Graphics Designing,3
student 6038,FIRST LEGO LEAGUE (FLL - 2022/23),New Zealand,English Language Private School,Male,6,In-person,48,Science,Applied Tech,Game Development,5
student 6039,Python Coding,IndiaSpain,English Language Private School,Male,6,Hybrid,48,Art,Proficiency,AI,4
student 6040,Artificial Intelligence and Machine Learning,Singapore,English Language Private School,Male,6,Hybrid,96,Science,Intermediate,Robotics Innovative Learning,3
student 6041,School,Russia,English Language Private School,Male,6,Online,48,Sports,Beginner,App Development,4
student 6042,Technology Boot Camp,Turkey,English Language Private School,Male,9,Hybrid,96,Sports,Intermediate,Robotics Innovative Learning,3
student 6043,Half Term Camp 2022-23,Egypt,English Language Private School,Female,6,In-person,24,Mathematics,Applied Tech,Python,4
student 6044,App Development,United States,English Language Private School,Male,6,Hybrid,48,Art,Applied Tech,3D Designing,4
student 6045,Drone Technology & Aerodynamics,Egypt,Gulf Indian High School,Male,7,Hybrid,48,Art,Intermediate,Coding for kids,4
student 6046,Space STEM,Taiwan,English Language Private School,Female,4,Hybrid,48,Technology,Proficiency,AI,4
student 6047,JAVA Programming,UK,Gulf Indian High School,Male,1,Hybrid,8,Music,Intermediate,Graphics Designing,4
student 6048,World Robot Olympiad Webinar,Armenia,English Language Private School,Male,7,Hybrid,96,Sports,Intermediate,Robotics Innovative Learning,3
student 6049,Bootcamp - 3D Designing & Modelling,Bosnia and Herzegovina,English Language Private School,Male,9,Hybrid,48,Music,Applied Tech,Robotics Innovative Learning,4
student 6050,Artificial Intelligence for Non Programmers,Oman,English Language Private School,Female,6,Hybrid,96,Science,Beginner,Coding for kids,4
student 6051,STEM Sr,Poland,Gulf Indian High School,Male,1,Hybrid,96,Sports,Beginner,Python,3
student 6052,Data Science,Korea,Gulf Indian High School,Male,1,Hybrid,48,Art,Intermediate,AI,3
student 6053,Game Development with Unity,Iraq,English Language Private School,Male,5,Online,24,Sports,Intermediate,Robotics Innovative Learning,3
student 6054,JAVA,Armenia,Gulf Indian High School,Female,1,Online,48,Art,Beginner,Graphics Designing,3
student 6055,Artificial Intelligence Program,Afghanistan,Gulf Indian High School,Male,1,Hybrid,24,Sports,Applied Tech,Python,5
student 6056,Microsoft Arcade,Ireland,Gulf Indian High School,Female,2,Online,48,Science,Intermediate,Graphics Designing,5
student 6057,Young App Developer,Singapore,Gulf Indian High School,Male,1,Online,48,Technology,Applied Tech,AI,4
student 6058,Robotics/Virtual Robotics/Robotics Programming,Qatar,English Language Private School,Female,4,In-person,8,Art,Beginner,Robotics Innovative Learning,5
student 6059,Bootcamp - Artificial Intelligence,Canada,Gulf Indian High School,Female,1,Online,48,Art,Applied Tech,Python,3
student 6060,Bootcamp - 3D Designing & Modelling,China,English Language Private School,Male,5,Hybrid,48,Sports,Intermediate,Python,3
student 6061,Python Programming,Kuwait,Gulf Indian High School,Male,2,In-person,48,Science,Proficiency,Game Development,3
student 6062,STEM Sr,Canada,English Language Private School,Male,6,Online,96,Science,Proficiency,Robotics Innovative Learning,3
student 6063,LEGO Robotics,Iraq,English Language Private School,Female,4,Hybrid,8,Music,Beginner,Coding for kids,3
student 6064,"CIS, Dubai - Stem Junior Year (3 -6)",Syria,Gulf Indian High School,Male,1,In-person,48,Sports,Proficiency,Technology Innovative Learning,3
student 6065,Winter Camp 2021,Taiwan,Gulf Indian High School,Male,7,Online,48,Art,Applied Tech,Graphics Designing,4
student 6066,Technology Innovative Learning,Oman,English Language Private School,Male,9,Hybrid,48,Art,Intermediate,Coding for kids,5
student 6067,VEX IQ Competition (VIQC - 2022 / 23),Cuba,Gulf Indian High School,Female,1,In-person,48,Art,Proficiency,Python,3
student 6068,Python,Ireland,English Language Private School,Male,9,Online,24,Sports,Beginner,3D Designing,4
student 6069,JAVA Programming,Syria,English Language Private School,Male,6,Hybrid,96,Sports,Beginner,AI,3
student 6070,Young Designer Program,Switzerland,English Language Private School,Female,4,Online,48,Art,Applied Tech,Technology Innovative Learning,5
student 6071,Summer Camp 2022,Iran (Islamic Republic of),English Language Private School,Female,4,Hybrid,24,Technology,Intermediate,3D Designing,3
student 6072,3D Designing & Modelling,India,Gulf Indian High School,Male,6,In-person,48,Science,Proficiency,Robotics Innovative Learning,4
student 6073,Scratch Coding,Jordan,English Language Private School,Male,5,In-person,48,Science,Intermediate,Game Development,3
student 6074,Game Development - Block-Based,United States,English Language Private School,Male,5,Hybrid,24,Mathematics,Proficiency,Graphics Designing,4
student 6075,Artificial Intelligence of Things (AIoT),Pakistan,English Language Private School,Female,5,Hybrid,24,Science,Applied Tech,App Development,3
student 6076,Young Innovator,Ireland,English Language Private School,Female,5,Hybrid,24,Art,Beginner,Game Development,4
student 6077,STEM Sr,Malaysia,English Language Private School,Female,4,In-person,48,Music,Proficiency,AI,3
student 6078,Technology Onsite,Taiwan,Gulf Indian High School,Male,2,Online,24,Science,Beginner,Coding for kids,3
student 6079,STEM Jr,Jordan,English Language Private School,Female,8,Hybrid,48,Art,Beginner,3D Designing,4
student 6080,"CIS, Dubai - Tech Innovator Year (7 -10)",Taiwan,Gulf Indian High School,Male,1,In-person,24,Art,Applied Tech,Technology Innovative Learning,4
student 6081,Young Honcho,Taiwan,English Language Private School,Female,6,In-person,8,Mathematics,Applied Tech,Game Development,3
student 6082,Tech Innovator,Poland,English Language Private School,Female,4,Hybrid,24,Sports,Applied Tech,Technology Innovative Learning,3
student 6083,Half Term Camp 2022-23,Saudi Arabia,Gulf Indian High School,Female,1,Online,24,Mathematics,Intermediate,App Development,4
student 6084,School,Palestine,English Language Private School,Male,8,In-person,8,Art,Beginner,Robotics Innovative Learning,3
student 6085,Drone Technology & Aerodynamics,Kuwait,English Language Private School,Female,9,Hybrid,48,Sports,Intermediate,Technology Innovative Learning,5
student 6086,Artificial Intelligence Winter Internship Program,UK,Gulf Indian High School,Female,1,Hybrid,24,Sports,Intermediate,Python,3
student 6087,Internet of Things,Iraq,Gulf Indian High School,Female,2,Hybrid,48,Sports,Applied Tech,AI,3
student 6088,Bootcamp - Artificial Intelligence,Jordan,Gulf Indian High School,Female,7,In-person,48,Sports,Intermediate,AI,3
student 6089,Robotics/Virtual Robotics/Robotics Programming,Bahrain,Gulf Indian High School,Female,2,Online,8,Music,Intermediate,Robotics Innovative Learning,5
student 6090,Young Web Developer,Canada,Gulf Indian High School,Female,2,In-person,48,Music,Proficiency,App Development,3
student 6091,3D Designing,India,English Language Private School,Male,5,Online,48,Sports,Applied Tech,AI,5
student 6092,Data Science,Jordan,English Language Private School,Male,6,Hybrid,24,Art,Intermediate,Python,4
student 6093,Summer Camps,Cook Islands,Gulf Indian High School,Female,2,In-person,48,Art,Proficiency,App Development,3
student 6094,Technology Innovative Learning,Syria,Gulf Indian High School,Male,1,Hybrid,8,Mathematics,Intermediate,Game Development,4
student 6095,Young Entrepreneur,Canada,Gulf Indian High School,Female,2,In-person,24,Music,Applied Tech,Robotics Innovative Learning,4
student 6096,Augmented & Virtual Reality,Oman,Gulf Indian High School,Female,2,Hybrid,24,Music,Applied Tech,AI,4
student 6097,World Robot Olympiad Webinar,Turkey,Gulf Indian High School,Male,2,Hybrid,96,Art,Intermediate,Coding for kids,3
student 6098,Artificial Intelligence Program,Turkey,Gulf Indian High School,Male,2,In-person,24,Mathematics,Applied Tech,App Development,3
student 6099,Gulf News - Data Analysis with Python,Jordan,Gulf Indian High School,Female,2,Online,24,Mathematics,Proficiency,Robotics Innovative Learning,5
student 6100,Game Development with Unity,Ireland,Gulf Indian High School,Male,1,In-person,8,Music,Proficiency,Coding for kids,5
student 6101,VEX IQ Competition (VIQC - 2022 / 23),Switzerland,Gulf Indian High School,Male,2,Online,24,Music,Proficiency,Python,3
student 6102,Canon Junior Photography,Ireland,Gulf Indian High School,Male,2,In-person,8,Music,Beginner,AI,3
student 6103,VEX Robotics,Jordan,Gulf Indian High School,Female,2,Online,48,Sports,Proficiency,3D Designing,4
student 6104,Game Dev with SCRATCH,UAE,Gulf Indian High School,Male,2,Online,24,Technology,Applied Tech,Python,3
student 6105,Artificial Intelligence of Things (AIoT),Ireland,Gulf Indian High School,Male,2,Hybrid,24,Mathematics,Applied Tech,Technology Innovative Learning,5
student 6106,Robotics Innovative Learning,Ireland,Gulf Indian High School,Female,6,Hybrid,96,Mathematics,Applied Tech,3D Designing,5
student 6107,"CIS, Dubai - Stem Junior Year (3 -6)",Bahrain,Gulf Indian High School,Male,2,Online,96,Sports,Applied Tech,Coding for kids,3
student 6108,Programming & Coding - Python/JAVA/HTML/C/C++,USA,English Language Private School,Male,10,In-person,48,Mathematics,Beginner,Game Development,4
student 6109,Virtual Robotics & Mechatronics,Bosnia and Herzegovina,Gulf Indian High School,Female,2,Online,24,Science,Beginner,Python,5
student 6110,Gulf News - Data Analysis with Python,Srilanka,Gulf Indian High School,Female,2,Online,48,Sports,Beginner,App Development,4
student 6111,Artificial Intelligence and Machine Learning,India,Gulf Indian High School,Female,2,Hybrid,48,Science,Proficiency,Game Development,3
student 6112,Technology Boot Camp,Uruguay,Gulf Indian High School,Female,2,In-person,48,Technology,Proficiency,3D Designing,5
student 6113,STEM Jr,Bosnia and Herzegovina,Gulf Indian High School,Male,2,Hybrid,48,Sports,Applied Tech,Coding for kids,5
student 6114,Art & Craft for Juniors,Korea,English Language Private School,Male,7,Online,8,Music,Intermediate,Python,5
student 6115,Game Dev with SCRATCH,Armenia,English Language Private School,Male,10,In-person,8,Science,Applied Tech,Robotics Innovative Learning,4
student 6116,Robotics Innovative Learning,IndiaSpain,Gulf Indian High School,Male,2,In-person,48,Music,Applied Tech,Python,3
student 6117,Spring Camps,Saudi Arabia,Gulf Indian High School,Female,2,In-person,8,Mathematics,Applied Tech,Graphics Designing,3
student 6118,LEGO Robotics,Canada,Gulf Indian High School,Male,2,Hybrid,48,Mathematics,Applied Tech,Coding for kids,3
student 6119,3D Designing & Modelling,Singapore,Gulf Indian High School,Male,3,Online,48,Technology,Intermediate,3D Designing,4
student 6120,STEM Sr,Poland,Gulf Indian High School,Male,3,Hybrid,8,Music,Applied Tech,AI,5
student 6121,Winter Camp 2021,India,Gulf Indian High School,Female,3,Online,24,Mathematics,Applied Tech,3D Designing,3
student 6122,Bootcamp - Artificial Intelligence,Iran (Islamic Republic of),English Language Private School,Male,10,In-person,24,Technology,Intermediate,Graphics Designing,5
student 6123,"CIS, Dubai - Stem Junior Year (3 -6)",Switzerland,Gulf Indian High School,Male,1,In-person,24,Art,Intermediate,Coding for kids,3
student 6124,Technology Onsite - Sunmarke - Team 1,Palestine,English Language Private School,Female,10,In-person,48,Art,Beginner,Game Development,4
student 6125,Canon Junior Photography,United Arab Emirates,Gulf Indian High School,Male,2,Online,8,Sports,Proficiency,AI,3
student 6126,VEX Robotics Competition (VRC - 2023/24),Ireland,Gulf Indian High School,Male,FS 1,Online,24,Art,Intermediate,Python,5
student 6127,Internet of Things,Armenia,Gulf Indian High School,Female,3,Online,24,Music,Intermediate,Coding for kids,3
student 6128,FIRST Lego League - Senior,Poland,Gulf Indian High School,Female,1,In-person,8,Technology,Intermediate,App Development,4
student 6129,Tech Summer Camp for Juniors,Turkey,English Language Private School,Female,6,Hybrid,8,Mathematics,Beginner,3D Designing,4
student 6130,App Development,Kuwait,English Language Private School,Male,5,Hybrid,48,Mathematics,Beginner,AI,4
student 6131,Internet of Things,Pakistan,Gulf Indian High School,Male,2,Online,96,Science,Applied Tech,Technology Innovative Learning,3
student 6132,Young Innovator,Turkey,Gulf Indian High School,Female,2,Online,48,Music,Intermediate,Coding for kids,4
student 6133,Robotics Innovative Learning,Egypt,Gulf Indian High School,Female,2,Online,24,Music,Beginner,AI,5
student 6134,Artificial Intelligence Summer Program & Internship,Cuba,English Language Private School,Female,9,Online,24,Music,Beginner,Robotics Innovative Learning,5
student 6135,Electronics for Kids,UK,Gulf Indian High School,Male,1,In-person,24,Art,Intermediate,Robotics Innovative Learning,3
student 6136,Robotics Innovative Learning,Singapore,English Language Private School,Male,5,In-person,48,Sports,Intermediate,Game Development,4
student 6137,Artificial Intelligence of Things (AIoT),United Kingdom,Gulf Indian High School,Female,FS 2,In-person,24,Mathematics,Intermediate,Coding for kids,4
student 6138,World Robot Olympiad (WRO),Iran (Islamic Republic of),Gulf Indian High School,Male,2,In-person,48,Art,Proficiency,Robotics Innovative Learning,4
student 6139,Programming & Coding - Python/JAVA/HTML/C/C++,United States,Gulf Indian High School,Female,1,Hybrid,8,Science,Applied Tech,Robotics Innovative Learning,3
student 6140,Canon Junior Photography,Jordan,Gulf Indian High School,Female,1,Online,48,Mathematics,Applied Tech,Robotics Innovative Learning,5
student 6141,Graphics Designing,Oman,English Language Private School,Male,4,Online,96,Science,Applied Tech,Game Development,5
student 6142,Artificial Intelligence for Non Programmers,Canada,Gulf Indian High School,Female,3,In-person,48,Art,Proficiency,Technology Innovative Learning,3
student 6143,Game Combat Championship (GCC),Bosnia and Herzegovina,English Language Private School,Female,6,Online,24,Mathematics,Beginner,3D Designing,3
student 6144,Game Development with Unity,United States,Gulf Indian High School,Male,1,Online,24,Mathematics,Beginner,Game Development,4
student 6145,Gulf News - Game and App Development,Uganda,Gulf Indian High School,Female,1,Hybrid,48,Sports,Applied Tech,AI,3
student 6146,Artificial Intelligence Winter Internship Program,Uruguay,Gulf Indian High School,Male,1,Online,48,Technology,Intermediate,Robotics Innovative Learning,5
student 6147,Technology Innovative Learning,China,English Language Private School,Female,9,Online,48,Music,Proficiency,AI,3
student 6148,Half Term Camp 2022-23,Palestine,English Language Private School,Female,6,Online,48,Mathematics,Applied Tech,Game Development,3
student 6149,3D Designing & Modelling,Afghanistan,Gulf Indian High School,Female,7,Online,48,Technology,Applied Tech,Coding for kids,5
student 6150,JAVA Programming,Egypt,English Language Private School,Female,10,Hybrid,48,Science,Beginner,AI,5
student 6151,Gulf News - Artificial Intelligence,New Zealand,English Language Private School,Female,8,Hybrid,24,Science,Intermediate,Robotics Innovative Learning,3
student 6152,World Robot Olympiad (WRO),United States,Gulf Indian High School,Male,1,In-person,48,Music,Intermediate,Python,4
student 6153,"CIS, Dubai - Stem Junior Year (3 -6)",Iran (Islamic Republic of),Gulf Indian High School,Male,8,Online,24,Sports,Proficiency,Graphics Designing,3
student 6154,Technology Innovative Learning,Russia,English Language Private School,Female,8,Hybrid,8,Mathematics,Beginner,App Development,4
student 6155,Programming & Coding - Python/JAVA/HTML/C/C++,Uganda,English Language Private School,Female,4,Online,48,Technology,Proficiency,AI,5
student 6156,Winter Camp 2021,Canada,Gulf Indian High School,Male,2,Hybrid,24,Science,Applied Tech,Robotics Innovative Learning,3
student 6157,"CIS, Dubai - Tech Innovator Year (7 -10)",Cuba,Gulf Indian High School,Female,8,Online,8,Technology,Applied Tech,3D Designing,4
student 6158,Bootcamp - Artificial Intelligence,Singapore,Gulf Indian High School,Male,1,In-person,24,Science,Beginner,Robotics Innovative Learning,4
student 6159,Data Science,Uganda,English Language Private School,Male,8,Online,24,Sports,Applied Tech,App Development,3
student 6160,FIRST LEGO LEAGUE (FLL - 2022/23),United Kingdom,Gulf Indian High School,Female,1,Online,48,Sports,Beginner,Coding for kids,4
student 6161,Data Science,China,Gulf Indian High School,Female,1,Hybrid,48,Science,Intermediate,Coding for kids,5
student 6162,Graphics Designing,Ireland,English Language Private School,Female,7,Online,24,Art,Intermediate,Technology Innovative Learning,3
student 6163,Artificial Intelligence & Machine Learning,Ireland,English Language Private School,Female,7,In-person,48,Mathematics,Beginner,Technology Innovative Learning,3
student 6164,Data Science,Syria,English Language Private School,Female,7,Hybrid,48,Art,Proficiency,Graphics Designing,4
student 6165,Artificial Intelligence of Things (AIoT),Cook Islands,English Language Private School,Male,7,Online,24,Science,Beginner,Coding for kids,4
student 6166,Gulf News - Metaverse,Uruguay,Gulf Indian High School,Female,2,Online,8,Music,Intermediate,App Development,4
student 6167,Speech and Drama,Taiwan,Gulf Indian High School,Male,2,In-person,48,Mathematics,Beginner,Game Development,4
student 6168,French Language Course,Uruguay,Gulf Indian High School,Female,3,Online,24,Sports,Beginner,Graphics Designing,4
student 6169,Gulf News - Metaverse,United States,Gulf Indian High School,Male,3,Online,8,Mathematics,Beginner,Game Development,5
student 6170,3D Designing and Printing,Iran (Islamic Republic of),Gulf Indian High School,Female,8,In-person,48,Technology,Proficiency,AI,5
student 6171,Public Speaking & Entrepreneurship,UK,Gulf Indian High School,Male,8,Hybrid,96,Music,Intermediate,Technology Innovative Learning,4
student 6172,AI,Afghanistan,Gulf Indian High School,Male,1,In-person,48,Music,Intermediate,Technology Innovative Learning,5
student 6173,Artificial Intelligence of Things (AIoT),Turkey,English Language Private School,Female,5,Hybrid,24,Technology,Proficiency,AI,4
student 6174,Internet of Things,Venezuela,Gulf Indian High School,Female,8,Online,24,Science,Proficiency,App Development,4
student 6175,Drone Technology & Aerodynamics,Venezuela,Gulf Indian High School,Male,2,In-person,24,Art,Applied Tech,3D Designing,5
student 6176,Python Programming,Egypt,Gulf Indian High School,Female,1,Hybrid,24,Music,Proficiency,Robotics Innovative Learning,3
student 6177,Game Development with Unity,Armenia,Gulf Indian High School,Female,1,Online,8,Art,Beginner,Technology Innovative Learning,3
student 6178,Drone Technology,Iran (Islamic Republic of),English Language Private School,Male,5,Hybrid,48,Mathematics,Applied Tech,Game Development,5
student 6179,Game Dev with SCRATCH,United States,English Language Private School,Female,8,Online,96,Music,Applied Tech,Game Development,4
student 6180,Web Development,IndiaSpain,English Language Private School,Male,4,In-person,24,Art,Applied Tech,Robotics Innovative Learning,5
student 6181,FIRST Lego League - Senior,KSA,Gulf Indian High School,Female,6,Hybrid,24,Technology,Applied Tech,Coding for kids,3
student 6182,3D Designing & Modelling,United Kingdom,English Language Private School,Male,7,Hybrid,24,Sports,Intermediate,App Development,5
student 6183,Gulf News - Data Analysis with Python,UK,English Language Private School,Male,4,In-person,48,Technology,Proficiency,3D Designing,5
student 6184,Internet of Things,Iraq,Gulf Indian High School,Male,1,In-person,48,Art,Applied Tech,Technology Innovative Learning,3
student 6185,3D Designing,UK,Gulf Indian High School,Female,1,In-person,48,Mathematics,Intermediate,Game Development,5
student 6186,Python Coding,Syria,Gulf Indian High School,Female,1,Hybrid,48,Art,Proficiency,AI,4
student 6187,Internet of Things,India,Gulf Indian High School,Male,3,Hybrid,48,Art,Beginner,App Development,3
student 6188,VEX Robotics,Egypt,Gulf Indian High School,Female,8,Online,48,Music,Beginner,Python,4
student 6189,Microsoft Arcade,Korea,Gulf Indian High School,Male,1,Online,48,Technology,Intermediate,3D Designing,4
student 6190,Drone Technology & Aerodynamics,IndiaSpain,English Language Private School,Female,6,Hybrid,24,Science,Intermediate,App Development,5
student 6191,ALIF Robotics Workshop,UAE,Scuola Dei Bambini,Male,14-Oct,Hybrid,24,Mathematics,Applied Tech,Coding for kids,4
student 6192,ALIF Robotics Workshop,Jordan,Learning Oasis International School,Male,9-May,Online,48,Music,Intermediate,3D Designing,3
student 6193,Technology Innovative Learning,United States,Gulf Indian High School,Female,1,In-person,48,Science,Proficiency,Game Development,4
student 6194,Tech Summer Camp for Juniors,Turkey,Gulf Indian High School,Female,1,Online,8,Sports,Applied Tech,Coding for kids,4
student 6195,Arduino,Turkey,Gulf Indian High School,Female,1,In-person,24,Sports,Proficiency,App Development,3
student 6196,Young Coder,Srilanka,Gulf Indian High School,Female,1,In-person,24,Music,Beginner,Python,3
student 6197,Gulf News - Robotics Innovative Learning,Iran (Islamic Republic of),Gulf Indian High School,Male,1,In-person,8,Music,Beginner,Robotics Innovative Learning,3
student 6198,Bootcamp - 3D Designing & Modelling,United Kingdom,English Language Private School,Male,7,Hybrid,24,Music,Proficiency,AI,3
student 6199,Internet of Things,Pakistan,English Language Private School,Female,4,In-person,24,Sports,Applied Tech,Game Development,4
student 6200,ALIF Robotics Workshop,Cameroon,English Language Private School,Male,6,Hybrid,8,Technology,Intermediate,Graphics Designing,3
student 6201,Game Combat Championship (GCC),Pakistan,English Language Private School,Male,5,Hybrid,8,Mathematics,Beginner,Robotics Innovative Learning,3
student 6202,"CIS, Dubai - Tech Innovator Year (7 -10)",Canada,English Language Private School,Female,9,Hybrid,24,Science,Beginner,Game Development,3
